	sentence	label
4023	appropriately cynical social commentary aside , # 9 never quite ignites .	0
5805	cinematic poo .	0
5771	the town has kind of an authentic feel , but each one of these people stand out and everybody else is in the background and it just seems manufactured to me and artificial .	0
5097	starts off witty and sophisticated and you want to love it -- but filmmaker yvan attal quickly writes himself into a corner .	0
1980	what should have been a painless time-killer becomes instead a grating endurance test .	0
3115	sluggish , tonally uneven .	0
2627	the bottom line , at least in my opinion , is imposter makes a better short story than it does a film .	0
658	director jay russell weighs down his capricious fairy-tale with heavy sentiment and lightweight meaning .	0
4407	excruciatingly unfunny and pitifully unromantic .	0
4957	absolutely not .	0
381	what ultimately makes windtalkers a disappointment is the superficial way it deals with its story .	0
5352	what 's infuriating about full frontal is that it 's too close to real life to make sense .	0
3343	crush could be the worst film a man has made about women since valley of the dolls .	0
4701	the movie wavers between hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial .	0
3971	the soul-searching deliberateness of the film , although leavened nicely with dry absurdist wit , eventually becomes too heavy for the plot .	0
6425	is anyone else out there getting tired of the whole slo-mo , double-pistoled , ballistic-pyrotechnic hong kong action aesthetic ?	0
1345	ignore the reputation , and ignore the film .	0
778	just about all of the film is confusing on one level or another , making ararat far more demanding than it needs to be .	0
6226	it would take a complete moron to foul up a screen adaptation of oscar wilde 's classic satire .	0
5090	suffice to say its total promise is left slightly unfulfilled .	0
4974	cruel and inhuman cinematic punishment ... simultaneously degrades its characters , its stars and its audience .	0
2842	a really good premise is frittered away in middle-of-the-road blandness .	0
1566	none of this so-called satire has any sting to it , as if woody is afraid of biting the hand that has finally , to some extent , warmed up to him .	0
3640	a movie more to be prescribed than recommended -- as visually bland as a dentist 's waiting room , complete with soothing muzak and a cushion of predictable narrative rhythms .	0
1586	diane lane 's sophisticated performance ca n't rescue adrian lyne 's unfaithful from its sleazy moralizing .	0
5414	it gives poor dana carvey nothing to do that is really funny , and then expects us to laugh because he acts so goofy all the time .	0
5426	the transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .	0
649	a painfully slow cliche-ridden film filled with more holes than clyde barrow 's car .	0
4340	suffers from over-familiarity since hit-hungry british filmmakers have strip-mined the monty formula mercilessly since 1997 .	0
4300	does not go far enough in its humor or stock ideas to stand out as particularly memorable or even all that funny .	0
1532	the film was produced by jerry bruckheimer and directed by joel schumacher , and reflects the worst of their shallow styles : wildly overproduced , inadequately motivated every step of the way and demographically targeted to please every one -lrb- and no one -rrb- .	0
2449	blood work is laughable in the solemnity with which it tries to pump life into overworked elements from eastwood 's dirty harry period .	0
1449	remember back when thrillers actually thrilled ?	0
2912	the film is way too full of itself ; it 's stuffy and pretentious in a give-me-an-oscar kind of way .	0
