	sentence	label
12655	bean drops the ball too many times ... hoping the nifty premise will create enough interest to make up for an unfocused screenplay . 	0
17393	what is essentially an extended soap opera 	0
46219	watch them clumsily mugging their way through snow dogs 	0
10306	zellweger 's whiny pouty-lipped poof faced and spindly attempt at playing an ingenue makes her nomination as best actress even more of a an a 	0
38672	are as maudlin as any after-school special you can imagine 	0
11892	proves once again that a man in drag is not in and of himself funny . 	0
28486	is like having two guys yelling in your face for two hours 	0
56939	excuse to eat popcorn 	0
6912	is more like something from a bad clive barker movie . 	0
24483	'm not sure which is worse : the poor acting by the ensemble cast , the flat dialogue by vincent r. nebrida or the gutless direction by laurice guillen 	0
52908	in three words : thumbs friggin ' down 	0
21322	, it collapses like an overcooked soufflé . 	0
52257	puportedly `` based on true events , '' a convolution of language that suggests it 's impossible to claim that it is `` based on a true story '' with a straight face . 	0
28254	, i assign one bright shining star to roberto benigni 's pinocchio -- but i guarantee that no wise men will be following after it . 	0
13040	disappointed by a movie 	0
10944	that falls far short 	0
37092	virulent and foul-natured 	0
38317	copycat 	0
18231	charmless and 	0
13613	waste of time , money and celluloid 	0
43804	sure which will take longer to heal : the welt on johnny knoxville 's stomach from a riot-control projectile or my own tortured psyche 	0
39425	, comedian runs out of steam after a half hour . 	0
10026	smug and convoluted action-comedy that 	0
64345	's as if a bored cage spent the duration of the film 's shooting schedule waiting to scream : `` got aids yet ? '' 	0
64752	it does n't improve upon the experience of staring at a blank screen 	0
63084	mild disturbance or detached pleasure 	0
52717	is more like something from a bad clive barker movie 	0
13727	landing squarely on `` stupid '' 	0
6965	what a pity ... that the material is so second-rate . 	0
63473	miscalculates badly 	0
47844	to live out and carry on their parents ' anguish 	0
20733	might benefit from a helping hand and a friendly kick in the pants 	0
24920	the picture runs a mere 84 minutes , 	0
61085	is a movie so insecure about its capacity to excite that it churns up not one but two flagrantly fake thunderstorms to underscore the action . 	0
7346	its shortcomings 	0
35786	to activate girlish tear ducts does n't mean it 's good enough for our girls 	0
9012	worst cinematic tragedies 	0
41672	the overall vibe is druggy and self-indulgent , like a spring-break orgy for pretentious arts majors . 	0
5942	amid the deliberate , tiresome ugliness 	0
36417	pathetic as dahmer 	0
28392	nothing else happening 	0
29536	it 's a lousy one at that . 	0
6258	cheesy commercialism 	0
12664	throwaway 	0
38157	a phlegmatic bore , so tedious it makes the silly spy vs. spy film the sum of all fears , starring ben affleck , seem downright hitchcockian 	0
36691	undercut by its awkward structure and a final veering 	0
33038	, that would be me : fighting off the urge to doze . 	0
4629	`` how will you feel after an 88-minute rip-off of the rock with action confined to slo-mo gun firing and random glass-shattering ? '' 	0
52967	no longer recognizes the needs of moviegoers for real characters and compelling plots 	0
64326	's hard to figure the depth of these two literary figures , and even the times in which they lived . 	0
65598	crude 	0
62337	be depressing , as the lead actor phones in his autobiographical performance 	0
11548	nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro 's right-hand goombah . 	0
57761	as a pale successor 	0
40837	like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes . 	0
25320	sharp , overmanipulative hollywood practices 	0
38252	despite playing out like a feature-length sitcom replete with stereotypical familial quandaries 	0
4028	weighted down with slow , uninvolving storytelling and flat acting . 	0
20331	uneven 	0
31646	grief drives her 	0
10063	does little here 	0
43127	using a plot that could have come from an animated-movie screenwriting textbook 	0
6453	a loss 	0
27992	idiots 	0
62643	is ) so stoked to make an important film about human infidelity and happenstance that he tosses a kitchen sink onto a story already overladen with plot conceits 	0
36244	messy 	0
16701	idea ( of middle-aged romance ) is not handled well and , 	0
60596	sits there like a side dish no one ordered . 	0
22450	a sour taste in one 's mouth , 	0
5649	is little more than a mall movie designed to kill time . 	0
62955	of any film more challenging or depressing 	0
27322	tell you anything except that the chelsea hotel today is populated by whiny , pathetic , starving and untalented artistes 	0
183	like one of ( spears ' ) music videos in content -- except that it goes on for at least 90 more minutes and , worse , that you have to pay if you want to see it 	0
49694	'd probably turn it off 	0
15165	wives are worse 	0
25782	the most memorable moment was when green threw medical equipment at a window ; not because it was particularly funny , but because i had a serious urge to grab the old lady at the end of my aisle 's walker and toss it at the screen in frustration . 	0
54903	director ever making his wife look so bad in a major movie 	0
49100	expressing the way many of us live -- someplace between consuming self-absorption and insistently demanding otherness 	0
61653	a film 's title served such dire warning 	0
49669	gussied up with so many distracting special effects and visual party tricks that it 's not clear whether we 're supposed to shriek or 	0
43888	's nothing to gain from watching they 	0
21286	is a film tailor-made for those who when they were in high school would choose the cliff-notes over reading a full-length classic 	0
3498	search of purpose or even a plot 	0
59626	the script assumes that not only would subtlety be lost on the target audience , but that it 's also too stupid to realize that they 've already seen this exact same movie a hundred times 	0
23200	's a terrible movie in every regard , and utterly painful to watch . 	0
53462	secondary 	0
50746	silly and crude storyline 	0
36735	like heathers , then becomes bring it on , then becomes unwatchable 	0
32582	readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention 	0
33912	's apparently nothing left to work with , sort of like michael jackson 's nose 	0
15267	shortcomings 	0
17324	substitute plot for personality 	0
4449	turns numbingly dull-witted and disquietingly creepy . 	0
21652	pooper-scoopers 	0
22207	deceit 	0
9058	largely flat and uncreative moments 	0
61876	it 's not as awful as some of the recent hollywood trip tripe ... but it 's far from a groundbreaking endeavor . 	0
14459	ugly , pointless , stupid 	0
37699	required to balance all the formulaic equations in the long-winded heist comedy who is cletis tout ? 	0
25442	manipulative and 	0
30121	can be made on the cheap 	0
29141	typical late-twenty-somethings natter 	0
38994	convinced that this mean machine was a decent tv outing that just does n't have big screen magic 	0
61353	is entertaining on an inferior level 	0
32255	the cast is so engagingly messing around like slob city reductions of damon runyon crooks 	0
38071	the major problem with windtalkers is that the bulk of the movie centers on the wrong character . 	0
65430	its simplicity puts an exclamation point on the fact that this is n't something to be taken seriously 	0
19882	grave 	0
23260	shabby digital photography 	0
47897	their super-powers , their super-simple animation 	0
12197	plodding action sequences 	0
65438	spiteful 	0
2740	a tap-dancing rhino 	0
49069	has a tired , talky feel . 	0
32304	the notion of deleting emotion from people , even in an advanced prozac nation , is so insanely dysfunctional that the rampantly designed equilibrium becomes a concept doofus . 	0
17835	an awkward hybrid of genres that just does n't work 	0
16847	flat , misguided comedy 	0
19507	the scariest guy 	0
61318	emerges as a numbingly dull experience . 	0
43915	look almost shakespearean -- both in depth and breadth -- after watching this digital-effects-heavy , supposed family-friendly comedy 	0
36839	inactive 	0
43645	but then again , i hate myself most mornings . 	0
18794	results from adhering to the messiness of true stories 	0
58557	the script becomes lifeless and falls apart like a cheap lawn chair . 	0
45107	a fleeting grasp 	0
52289	some serious re-working to show more of the dilemma , rather than have his characters stage shouting 	0
18591	the histrionic muse 	0
23792	go down with a ship as leaky as this 	0
34653	hip-hop prison thriller of stupefying absurdity 	0
2266	cookie-cutter action scenes 	0
26617	dreaded 	0
36717	a paunchy midsection , several plodding action sequences and 	0
9479	has been replaced by the bottom of the barrel 	0
42492	given fair warning 	0
56538	has settled for a lugubrious romance 	0
67336	too interested in jerking off in all its byzantine incarnations to bother pleasuring its audience 	0
43161	boring movie 	0
4914	a stale copy of a picture that was n't all that great to begin with 	0
49483	get to its subjects ' deaths just so the documentary will be over 	0
18910	's not original enough 	0
11093	, the dialogue sounds like horrible poetry . 	0
61570	everything else about the film tanks . 	0
11243	hitting your head 	0
37710	unflattering comparisons 	0
33683	as often it 's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy 	0
62775	brilliantly named half past dead -- or for seagal 	0
2182	in one scene , we get a stab at soccer hooliganism , a double-barreled rip-off of quentin tarantino 's climactic shootout -- and meat loaf explodes . 	0
24186	is dudsville . 	0
48516	offering next to little insight 	0
28680	failed jokes , twitchy acting , and 	0
36906	too many 	0
2116	like an extended dialogue exercise in retard 101 	0
26383	, in praise of love lacks even the most fragmented charms i have found in almost all of his previous works . 	0
37079	choppy and sloppy 	0
25867	redolent of a thousand cliches 	0
43515	tediously exasperating 	0
52354	for most movies , 84 minutes is short , but this one feels like a life sentence . 	0
48642	appalling , shamelessly manipulative and contrived , and totally lacking in conviction 	0
14147	he thinks the film is just as much a document about him as it is about the subject . 	0
55802	can seem tiresomely simpleminded 	0
13158	the young stars are too cute ; the story and ensuing complications are too manipulative ; the message is too blatant ; the resolutions are too convenient 	0
1533	more than a widget cranked out on an assembly line to see if stupid americans will get a kick out of goofy brits with cute accents performing ages-old slapstick and unfunny tricks 	0
54472	invented to describe exactly how bad it is 	0
45814	the scuzzy underbelly 	0
39091	is unconvincing soap opera that tornatore was right to cut . 	0
26615	the script , the gags , the characters are all direct-to-video stuff , 	0
36805	with nary a glimmer of self-knowledge , ( crane ) becomes more specimen than character -- and auto focus remains a chilly , clinical lab report 	0
12744	no new plot conceptions or environmental changes 	0
58900	is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer . 	0
57365	wears thin 	0
40243	for people who take as many drugs as the film 's characters 	0
62667	has made the near-fatal mistake of being what the english call ` too clever by half . ' 	0
38113	ills 	0
33540	irritates and saddens me that martin lawrence 's latest vehicle can explode obnoxiously into 2,500 screens while something of bubba ho-tep 's clearly evident quality may end up languishing on a shelf somewhere . 	0
45897	spent an hour setting a fancy table and then served up kraft macaroni and cheese 	0
45691	to smash its face in 	0
3904	be a single iota worse 	0
28611	rode the zipper 	0
1920	steven spielberg has dreamed up such blatant and sickening product placement in a movie . 	0
57186	hollywood war-movie stuff 	0
13352	play second fiddle to the dull effects that allow the suit to come to life 	0
35005	that 's because relatively nothing happens . 	0
10986	it might be like trying to eat brussels sprouts . 	0
65218	is one big excuse to play one lewd scene after another 	0
10021	odd , rapt spell 	0
40843	, i hate myself most mornings . 	0
17015	might want to take a reality check before you pay the full ticket price to see `` simone , '' and consider a dvd rental instead 	0
18785	broomfield 's film does n't capture the effect of these tragic deaths on hip-hop culture 	0
31373	quite one of the worst movies of the year 	0
24451	what a pity 	0
21951	ca n't quite distinguish one sci-fi work from another 	0
63352	to the point of nausea 	0
59112	is too mainstream 	0
10087	damaged-goods 	0
51195	screenwriting cliches that sink it faster than a leaky freighter 	0
35050	lazier 	0
55976	the annoyance 	0
47679	store for unwary viewers 	0
57377	logic and misuse of two fine actors , morgan freeman and ashley judd 	0
25714	louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother hoffman 's script stumbles over a late-inning twist that just does n't make sense . 	0
65554	tripe 	0
51999	direct-to-video/dvd category 	0
18243	due to stodgy , soap opera-ish dialogue 	0
2762	quickly forgettable 	0
65226	the same old bad trip 	0
50605	nutty cliches and far too much 	0
23699	undone by a sloppy script 	0
7191	may sound like it was co-written by mattel executives and lobbyists for the tinsel industry 	0
45688	absurdly simplistic picture 	0
22119	attal 's hang-ups surrounding infidelity are so old-fashioned and , dare i say , outdated , it 's a wonder that he could n't have brought something fresher to the proceedings simply by accident . 	0
56370	it is repetitious 	0
2125	pale xerox of other , better crime movies 	0
19252	distinctly sub-par ... more likely to drown a viewer in boredom than to send any shivers down his spine 	0
21930	in the feet with cop flick cliches like an oily arms dealer , squad car pile-ups and the requisite screaming captain 	0
63467	taken outside the context of the current political climate ( see : terrorists are more evil than ever ! ) 	0
46551	lurid 	0
52580	goes awry 	0
42449	more simply intrusive to the story 	0
2759	its inescapable absurdities 	0
3838	amélie 's audrey tautou with another fabuleux destin -- i.e. , a banal spiritual quest 	0
37487	idiotic and 	0
47224	falls down in its attempts to humanize its subject 	0
63209	is a no-surprise series of explosions and violence while banderas looks like he 's not trying to laugh at how bad 	0
46833	an amateurish screenplay 	0
5214	final verdict : you 've seen it all before . 	0
57735	puzzling 	0
58848	talkiness is n't necessarily bad , but the dialogue frequently misses the mark 	0
28589	traffics in tired stereotypes 	0
16958	teen-speak and animal gibberish 	0
45134	almost saves the movie . 	0
8696	is druggy and self-indulgent , like a spring-break orgy for pretentious arts majors . 	0
11826	was vile enough . 	0
14178	it does n't flinch from its unsettling prognosis , namely , that the legacy of war is a kind of perpetual pain . 	0
935	devotees of star trek ii : the wrath of khan will feel a nagging sense of deja vu , and the grandeur of the best next generation episodes is lacking 	0
4949	with such a rah-rah , patriotic tone 	0
53468	one is left with a sour taste in one 's mouth , and little else . 	0
63930	a plot that 's just too boring and obvious 	0
41451	rock 's stand-up magic wanes . 	0
32731	in spite of its predictability 	0
28965	plotless 	0
522	the director , with his fake backdrops and stately pacing , 	0
66699	has all the scenic appeal of a cesspool 	0
64102	nothing but one relentlessly depressing situation after another for its entire running time , something that you could easily be dealing with right now in your lives . 	0
10373	... a complete shambles of a movie so sloppy , so uneven , so damn unpleasant that i ca n't believe any viewer , young or old , would have a good time here . 	0
11971	loses its ability to shock and amaze . 	0
16622	casting shatner as a legendary professor and kunis as a brilliant college student -- where 's pauly shore as the rocket scientist ? 	0
6650	add up to little more than a screenful of gamesmanship that 's low on both suspense and payoff 	0
62249	with mcconaughey in an entirely irony-free zone and bale reduced mainly to batting his sensitive eyelids 	0
15083	is exactly what it wants to be : an atrociously , mind-numbingly , indescribably bad movie 	0
32696	they may be as history 	0
55276	vividly detailed story about newcomers in a strange new world 	1
37020	the masses with star power , a pop-induced score and sentimental 	1
27936	has crafted a solid formula for successful animated movies 	1
22928	manages to be both hugely entertaining and uplifting . 	1
3627	hoffman 's performance is authentic to the core of his being . 	1
29905	a special kind of movie , this melancholic film noir reminded me a lot of memento ... 	1
11498	fair amount 	1
28710	mesmerizing cinematic poem 	1
39132	to capture the novel 's deeper intimate resonances 	1
10169	, pretty and gifted , it really won my heart 	1
56178	ask for a raise 	1
18900	quite funny 	1
17208	a fun one 	1
56489	takes a surprising , subtle turn at the midway point . 	1
64580	surprisingly idealistic 	1
5810	it is an engaging and exciting narrative of man confronting the demons of his own fear and paranoia 	1
4972	surgeon mends 	1
44109	if ( jaglom 's ) latest effort is not the director at his most sparkling , some of its repartee is still worth hearing . 	1
18216	the cinematic canon 	1
16665	it 's a pretty good execution of a story that 's a lot richer than the ones hollywood action screenwriters usually come up with on their own . 	1
45754	his ninth decade 	1
64754	draw people together across the walls that might otherwise separate them 	1
50140	the plot weaves us into a complex web . 	1
51250	wilde 's droll whimsy helps `` being earnest '' overcome its weaknesses 	1
15855	one of our best actors 	1
20197	a worthwhile documentary , 	1
31551	a beautiful film , 	1
21317	juliette binoche 's sand is vivacious 	1
34122	be relieved that his latest feature , r xmas , marks a modest if encouraging return to form 	1
54738	cocktail 	1
52286	aware of his own coolness 	1
53256	enjoyable undercover brother 	1
56208	nice piece of work . 	1
19384	and unforgettable characters 	1
57951	a good time for both children and parents 	1
34034	short and sweet 	1
61996	bouncy 	1
39568	unique and inherent 	1
565	a coming-of-age film that avoids the cartoonish clichés and sneering humor of the genre as it provides a fresh view of an old type -- 	1
2731	a lifetime 	1
66441	still consoled by his art , which is more than he has ever revealed before about the source of his spiritual survival 	1
55752	a disoriented but occasionally disarming saga packed with moments out of an alice in wonderland adventure , a stalker thriller , and a condensed season of tv 's big brother . 	1
19793	gentle but insistent 	1
49905	, offering fine acting moments and pungent 	1
40412	make this worth a peek . 	1
35494	a thoroughly engaging , surprisingly touching british comedy . 	1
59214	air conditioning and popcorn 	1
2265	manage to be spectacularly outrageous 	1
53914	the mark of a respectable summer blockbuster is one of two things : unadulterated thrills or genuine laughs . 	1
