	sentence	label
57816	who ignored it in favor of old ` juvenile delinquent ' paperbacks with titles like leather warriors and switchblade sexpot 	0
3576	( green is ) the comedy equivalent of saddam hussein , and i 'm just about ready to go to the u.n. and ask permission for a preemptive strike . 	0
50519	insufferable ball 	0
41869	dull , spiritless , silly and monotonous 	0
32788	spends 90 minutes trying figure out whether or not some cocky pseudo-intellectual kid has intentionally left college or was killed . 	0
4619	so primitive in technique 	0
11563	, but through the perverse pleasure of watching disney scrape the bottom of its own cracker barrel 	0
12689	an ungainly movie , ill-fitting , with its elbows sticking out where the knees should be 	0
13503	stripped almost entirely of such tools as nudity , profanity and violence 	0
51113	a kind of abstract guilt 	0
5869	sink it faster than a leaky freighter 	0
55090	i think it was plato who said , ' i think , therefore i know better than to rush to the theater for this one 	0
63901	alas , getting there is not even half the interest . 	0
15081	ruthlessly pained 	0
42024	retelling 	0
42686	embarrassingly ham-fisted sex jokes 	0
43383	like coming into a long-running , well-written television series where you 've missed the first half-dozen episodes and probably wo n't see the next six . 	0
11030	does n't really believe in it 	0
6198	low comedy does n't come much lower . 	0
42967	is a slapdash mess 	0
46947	unsurprisingly 	0
29683	conflicts 	0
12892	plot lapses 	0
30864	who sometimes feel more like literary conceits than flesh-and-blood humans 	0
51150	a sad and rote exercise in milking a played-out idea -- a straight guy has to dress up in drag -- that shockingly manages to be even worse than its title 	0
37266	high crimes carries almost no organic intrigue as a government / marine/legal mystery , and 	0
24400	is so prolonged and boring it is n't even close to being the barn-burningly bad movie it promised it would be . 	0
45788	many bona fide groaners 	0
58217	madonna has made herself over so often now , there 's apparently nothing left to work with , sort of like michael jackson 's nose . 	0
33329	which ones shtick 	0
60124	is off-putting , 	0
27639	repeating what he 's already done way too often 	0
56022	does n't take a rocket scientist to figure out that this is a mormon family movie , and a sappy , preachy one at that . 	0
13638	hurts 	0
58878	frankly , it 's pretty stupid . 	0
45040	the disappointingly generic nature of the entire effort 	0
4195	fake , dishonest 	0
13353	to rowling that stifles creativity and allows the film to drag on for nearly three hours 	0
52520	septic 	0
32260	could force you to scratch a hole in your head 	0
52703	three hours and with very little story or character 	0
8012	this kiddie-oriented stinker is so bad that i even caught the gum stuck under my seat trying to sneak out of the theater 	0
24275	he refuses to give us real situations and characters 	0
47790	an inexplicable nightmare 	0
20619	bad-movie way 	0
65713	surprisingly shoddy makeup work 	0
54677	dreary and sluggish 	0
9492	each scene immediately succumbs to gravity and plummets to earth . 	0
48260	nasty comedy 	0
119	nicks and steinberg match their own creations for pure venality -- that 's giving it the old college try . 	0
37887	illustrated by a winning family story 	1
14216	edge to it 	1
6754	lyrical tale probes the ambiguous welcome extended by iran to the afghani refugees who streamed across its borders , desperate for work and food . 	1
53718	outstanding performance 	1
56984	crafted , and well 	1
53863	is not show-stoppingly hilarious , but scathingly witty nonetheless . 	1
19084	the promise of excitement 	1
9734	is a seriously intended movie that is not easily forgotten 	1
40821	keep the proceedings as funny for grown-ups as for rugrats 	1
41389	of dedicated artists 	1
28934	was able to overcome his personal obstacles and become a good man 	1
53331	life-changing chance encounters 	1
67167	moving and solidly entertaining 	1
27647	touches smartly and wistfully 	1
33841	groan and 	1
48960	constantly touching 	1
58344	from terry gilliam 's subconscious , pressed through kafka 's meat grinder and into buñuel 's casings 	1
16837	the lady and the duke surprisingly manages never to grow boring ... which proves that rohmer still has a sense of his audience . 	1
43820	serves as a paper skeleton for some very good acting , dialogue , comedy , direction and especially charm . 	1
32190	a bittersweet contemporary comedy about benevolent deception , which , while it may not rival the filmmaker 's period pieces , is still very much worth seeing 	1
50402	a compelling french psychological drama 	1
48950	the titillating material 	1
55752	a disoriented but occasionally disarming saga packed with moments out of an alice in wonderland adventure , a stalker thriller , and a condensed season of tv 's big brother . 	1
1351	from others in its genre in that it is does not rely on dumb gags , anatomical humor , or character cliches 	1
32719	soulful gravity 	1
66749	, and gently tedious in its comedy 	1
58891	grandeur ' shots 	1
15660	the film has an infectious enthusiasm 	1
31109	a reasonably entertaining sequel 	1
26240	's thanks to huston 's revelatory performance . 	1
3321	samuel l. jackson is one of the best actors there is . 	1
54203	bad love 	1
6625	the reassuring manner of a beautifully sung holiday carol 	1
94	it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world 	1
17618	effortless performance 	1
36961	catches dramatic fire 	1
31622	inspirational prep-school professors 	1
48563	full , chilling advantage 	1
28039	a good three days 	1
21401	to be wholesome and subversive at the same time . 	1
6284	makes it all the more compelling . 	1
55563	slightly wised-up kids 	1
54836	hard to resist his pleas to spare wildlife and respect their environs 	1
55116	to make creative contributions to the story and dialogue 	1
62726	once in a while a film 	1
52383	some episodes that rival vintage looney tunes for the most creative mayhem in a brief amount of time 	1
20648	like its hero 	1
18720	does a splendid job of racial profiling hollywood style -- casting excellent latin actors of all ages -- a trend long overdue . 	1
58091	often shocking but ultimately worthwhile exploration 	1
15891	passionate 	1
